type	geneStart	geneEnd	tag	description
CDS	152	1402	HVO_A0001	Orc1-type DNA replication protein
CDS	2008	2586	HVO_A0002	uncharacterized protein
CDS	2579	3403	HVO_A0003	ParA domain protein
CDS	4283	5641	HVO_A0005	integrase family protein
CDS	5824	6483	HVO_A0006	putative adenine specific DNA methyltransferase
CDS	6551	7903	HVO_A0007	ISH5-type transposase ISHvo11
CDS	8150	9448	HVO_A0008	IS1341-type transposase ISHvo19
CDS	9938	10657	HVO_A0009	putative S-adenosylmethionine-dependent methyltransferase
CDS	10786	11598	HVO_A0010	DUF2204 family protein
CDS	11595	12518	HVO_A0011	ArsR family transcription regulator
CDS	12870	13319	HVO_A0012	uncharacterized protein
CDS	13757	14635	HVO_A0013	uncharacterized protein
CDS	15297	16295	HVO_A0014	ISH18-type transposase ISHvo9
CDS	16538	16657	HVO_A0015	uncharacterized protein
CDS	17092	18090	HVO_A0016	ISH18-type transposase ISHvo10
CDS	18495	18671	HVO_A0017	uncharacterized protein
CDS	18756	19970	HVO_A0018	IS1341-type transposase HfIRS14
CDS	20841	21737	HVO_A0019	uncharacterized protein
CDS	21954	22202	HVO_A0019A	uncharacterized protein
CDS	22306	23010	HVO_A0020	uncharacterized protein
CDS	23099	23494	HVO_A0021	uncharacterized protein
CDS	23617	24615	HVO_A0022	uncharacterized protein
CDS	24692	24859	HVO_A0023	uncharacterized protein
CDS	25023	25706	HVO_A0024	uncharacterized protein
CDS	25828	26754	HVO_A0026	transcription initiation factor TFB
CDS	26751	27239	HVO_A0025	uncharacterized protein
CDS	27257	27808	HVO_A0027	HTH domain protein
CDS	27945	28826	HVO_A0028	uncharacterized protein
CDS	28965	29153	HVO_A0029	uncharacterized protein
CDS	29245	29625	HVO_A0030	uncharacterized protein
CDS	29695	30357	HVO_A0031	uncharacterized protein
CDS	30432	30848	HVO_A0032	uncharacterized protein
CDS	30955	31446	HVO_A0033	uncharacterized protein
CDS	31450	31815	HVO_A0034	uncharacterized protein
CDS	31900	33084	HVO_A0035	"FtsZ family protein CetZ, type III"
CDS	33278	33580	HVO_A0035A	uncharacterized protein
CDS	34050	34475	HVO_A0036	ArsR family transcription regulator
CDS	34478	34780	HVO_A0037	uncharacterized protein
CDS	34844	35470	HVO_A0038	DUF502 family protein
CDS	35744	36763	HVO_A0039	uncharacterized protein
CDS	36821	37042	HVO_A0040	small CPxCG-related zinc finger protein
CDS	37089	37340	HVO_A0041	uncharacterized protein
CDS	37548	38588	HVO_A0042	uncharacterized protein
CDS	39046	39957	HVO_A0043	UspA domain protein
CDS	40248	40484	HVO_A0044	uncharacterized protein
CDS	40485	41372	HVO_A0045	HtpX-like protease
CDS	41599	42171	HVO_A0046	uncharacterized protein
CDS	42424	43293	HVO_A0047	uspA domain protein
CDS	43402	43689	HVO_A0048	uncharacterized protein
CDS	43972	45318	HVO_A0049	DUF21/CBS domain protein
CDS	45386	45781	HVO_A0050	uncharacterized protein
CDS	45861	46265	HVO_A0051	uncharacterized protein
CDS	46285	46563	HVO_A0052	uncharacterized protein
CDS	46613	46831	HVO_A0053	uncharacterized protein
CDS	46903	47589	HVO_A0054	uncharacterized protein
CDS	47589	47747	HVO_A0055	uncharacterized protein
CDS	47744	48586	HVO_A0056	hypothetical protein
CDS	48734	49555	HVO_A0057	ISH9-type transposase ISHvo2
CDS	50627	51628	HVO_A0058	uncharacterized protein
CDS	51701	52048	HVO_A0059	uncharacterized protein
CDS	52135	53061	HVO_A0060	DUF955 family protein
CDS	53198	53737	HVO_A0061	SWIM zinc finger domain protein
CDS	53753	54730	HVO_A0062	ISH4-type transposase ISHvo6
CDS	54843	55166	HVO_A0063	uncharacterized protein
CDS	55398	56897	HVO_A0064	Orc1-type DNA replication protein
CDS	57789	59942	HVO_A0065	DNA-directed DNA polymerase B2
CDS	59944	61230	HVO_A0066	IS1341-type transposase ISHvo24
CDS	61404	61709	HVO_A0067	uncharacterized protein
CDS	61712	62656	HVO_A0068	uncharacterized protein
CDS	64556	65242	HVO_A0071	UPF0361 family protein
CDS	65261	66289	HVO_A0072	Orc1-type DNA replication protein
CDS	66482	66730	HVO_A0073	uncharacterized protein
CDS	66855	70151	HVO_A0074	AAA-type ATPase domain protein
CDS	70141	71505	HVO_A0076	uncharacterized protein
CDS	71953	73305	HVO_A0077	ISH5-type transposase ISHvo11
CDS	73368	75701	HVO_A0078	"helicase, SNF2/RAD54 family, putative"
CDS	75691	78957	HVO_A0079	putative restriction/modification enzyme
CDS	79038	80336	HVO_A0080	ISH8-type transposase ISHvo12
CDS	81037	82203	HVO_A0081	ISH3-type transposase ISH51
CDS	82394	83161	HVO_A0082	IclR family transcription regulator
CDS	83529	83906	HVO_A0083	Rieske-type iron-sulfur protein (2Fe-2S)
CDS	83913	85046	HVO_A0084	amidohydrolase domain protein
CDS	85338	86798	HVO_A0085	uncharacterized protein
CDS	86868	87260	HVO_A0086	uspA domain protein
CDS	87519	88388	HVO_A0087	fumarylacetoacetase family protein
CDS	88508	91582	HVO_A0088	FAD-dependent oxidoreductase (GlcD/DLD_GlcF/GlpC domain fusion protein)
CDS	91575	91754	HVO_A0089	small CPxCG-related zinc finger protein
CDS	91874	92947	HVO_A0090	"gentisate 1,2-dioxygenase"
CDS	93074	94483	HVO_A0091	transport protein
CDS	94975	96120	HVO_A0092	acyl-CoA dehydrogenase
CDS	96278	97018	HVO_A0093	IclR family transcription regulator
CDS	97459	98913	HVO_A0094	uncharacterized protein
CDS	98970	99812	HVO_A0095	amidohydrolase domain protein
CDS	99946	101091	HVO_A0096	acyl-CoA dehydrogenase
CDS	101218	103170	HVO_A0097	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase
CDS	103229	104860	HVO_A0097A	acyl-CoA synthetase
CDS	105124	105399	HVO_A0098	transcription initiation factor TFB
CDS	105533	106533	HVO_A0100	ISHwa16-type transposase ISHvo16
CDS	106831	107016	HVO_A0101	uncharacterized protein
CDS	107050	107457	HVO_A0102	SWIM zinc finger domain protein
CDS	107526	108455	HVO_A0104	DUF955 family protein
CDS	108529	108867	HVO_A0105	uncharacterized protein
CDS	108954	109349	HVO_A0106	uncharacterized protein
CDS	109523	109765	HVO_A0107	uncharacterized protein
CDS	109784	110275	HVO_A0108	uncharacterized protein
CDS	110549	110767	HVO_A0109	"lipoprotein, putative"
CDS	110914	112080	HVO_A0110	ISH3-type transposase ISH51
CDS	112701	112814	HVO_A0112	uncharacterized protein
CDS	113348	113815	HVO_A0114	HTH domain protein
CDS	113796	114104	HVO_A0115	uncharacterized protein
CDS	114246	115544	HVO_A0116	ISH8-type transposase ISHvo13
CDS	115728	116552	HVO_A0117	ISH9-type transposase ISHvo1
CDS	116872	117156	HVO_A0118	PadR family transcription regulator
CDS	117274	117957	HVO_A0119	cyclase family protein
CDS	118039	118707	HVO_A0120	uncharacterized protein
CDS	118888	119529	HVO_A0121	HTH-10 family transcription regulator
CDS	119614	119730	HVO_A0122	uncharacterized protein
CDS	119867	120400	HVO_A0123	uncharacterized protein
CDS	121510	122676	HVO_A0125	ISH3-type transposase ISH51
CDS	122883	124166	HVO_A0126	XerC/D-like integrase
CDS	124782	125963	HVO_A0127	tryptophan--tRNA ligase
CDS	126290	127288	HVO_A0128	ISH18-type transposase ISHvo10
CDS	127679	127990	HVO_A0129	uncharacterized protein
CDS	127994	128602	HVO_A0130	uncharacterized protein
CDS	128626	128772	HVO_A0131	uncharacterized protein
CDS	129486	129731	HVO_A0131A	uncharacterized protein
CDS	130759	131637	HVO_A0133	uncharacterized protein
CDS	133406	133768	HVO_A0135	HTH domain protein
CDS	133761	134105	HVO_A0136	PemK family protein
CDS	134123	135049	HVO_A0137	transcription initiation factor TFB
CDS	135432	135617	HVO_A0138	uncharacterized protein
CDS	135652	136059	HVO_A0139	SWIM zinc finger domain protein
CDS	136233	136844	HVO_A0140	HD family hydrolase
CDS	137066	137995	HVO_A0141	DUF955 family protein
CDS	138069	138407	HVO_A0142	uncharacterized protein
CDS	138506	138901	HVO_A0143	uncharacterized protein
CDS	139404	140753	HVO_A0144	ISH5-type transposase ISHvo11
CDS	141079	142257	HVO_A0145	ABC-type transport system ATP-binding protein (probable substrate sugar)
CDS	142260	143258	HVO_A0146	ABC-type transport system permease protein (probable substrate sugar)
CDS	143258	144250	HVO_A0147	ABC-type transport system permease protein (probable substrate sugar)
CDS	144314	145801	HVO_A0148	ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)
CDS	145899	147908	HVO_A0149	glycoside transferase domain protein
CDS	148020	149084	HVO_A0150	TrmB family transcription regulator
CDS	149297	150466	HVO_A0151	ISH3-type transposase ISH51
CDS	151023	151238	HVO_A0152	uncharacterized protein
CDS	151328	151816	HVO_A0153	uspA domain protein
CDS	151820	153469	HVO_A0154	SSSF family transport protein
CDS	153466	153903	HVO_A0155	DUF4212 family protein
CDS	153959	155953	HVO_A0156	acyl-CoA synthetase
CDS	156152	157918	HVO_A0157	integrase family protein / bat box HTH-10 family transcription regulator
CDS	158062	160014	HVO_A0158	acyl-CoA synthetase
CDS	160123	161286	HVO_A0159	pyridoxal phosphate-dependent aminotransferase (probable aspartate aminotransferase)
CDS	161332	163458	HVO_A0160	sensor box histidine kinase
CDS	163583	164173	HVO_A0161	TetR family transcription regulator
CDS	164170	165636	HVO_A0162	MATE efflux family protein
CDS	165667	166728	HVO_A0163	proline racemase
CDS	166725	167048	HVO_A0164	uncharacterized protein
CDS	167050	168516	HVO_A0165	SNF family transport protein
CDS	168878	169117	HVO_A0166	uncharacterized protein
CDS	169148	169276	HVO_A0167	small CPxCG-related zinc finger protein
CDS	169386	170126	HVO_A0168	HTH-10 family transcription regulator
CDS	170366	171283	HVO_A0169	DUF106 family protein
CDS	171389	171826	HVO_A0170	uncharacterized protein
CDS	171875	173836	HVO_A0171	chloride channel protein
CDS	173913	174278	HVO_A0172	uncharacterized protein
CDS	174529	175302	HVO_A0173	uncharacterized protein
CDS	175476	176942	HVO_A0174	protein translocase subunit SecY
CDS	177120	179501	HVO_A0175	transport protein (probable substrate cationic amino acids)
CDS	179508	180359	HVO_A0176	ABC-type transport system permease protein
CDS	180356	181339	HVO_A0177	ABC-type transport system ATP-binding protein
CDS	181448	182215	HVO_A0178	A-type ATP synthase subunit D
CDS	182280	183068	HVO_A0179	uncharacterized protein
CDS	183065	184846	HVO_A0180	Smc-like protein Sph1
CDS	184889	185605	HVO_A0181	uncharacterized protein
CDS	185664	186275	HVO_A0182	uncharacterized protein
CDS	186476	186715	HVO_A0183	uncharacterized protein
CDS	186724	186909	HVO_A0184	uncharacterized protein
CDS	186868	187083	HVO_A0185	uncharacterized protein
CDS	187110	188408	HVO_A0186	ATP-grasp domain protein
CDS	188487	189008	HVO_A0187	uncharacterized protein
CDS	189115	189552	HVO_A0188	homolog to endonuclease VapC
CDS	189549	189824	HVO_A0189	uncharacterized protein
CDS	189973	191406	HVO_A0190	pectin lyase domain protein
CDS	191621	191761	HVO_A0191	uncharacterized protein
CDS	191758	193056	HVO_A0192	polysaccharide deacetylase domain protein
CDS	193394	194533	HVO_A0194	"putative glycosyltransferase, type 2"
CDS	194607	195656	HVO_A0195	DUF1616 family protein
CDS	195849	198572	HVO_A0196	pectin lyase domain protein
CDS	199027	200547	HVO_A0197	putative transport protein (probable polysaccharide biosynthesis transport protein)
CDS	200867	202669	HVO_A0198	uncharacterized protein
CDS	202975	204816	HVO_A0200	asparagine synthase domain protein
CDS	207954	208772	HVO_A0205	CRISPR-associated endoribonuclease Cas6
CDS	208772	210925	HVO_A0206	CRISPR-associated protein Cas8b
CDS	210946	211968	HVO_A0207	CRISPR-associated protein Cas7
CDS	211979	212776	HVO_A0208	"CRISPR-associated protein Cas5, Hmari subtype"
CDS	212801	215614	HVO_A0209	CRISPR-associated nuclease/helicase Cas3
CDS	215804	216355	HVO_A0210	CRISPR-associated exonuclease Cas4
CDS	216359	217354	HVO_A0211	CRISPR-associated endonuclease Cas1
CDS	217356	217616	HVO_A0212	CRISPR-associated endonuclease Cas2
CDS	218613	219671	HVO_A0213	"putative glycosyltransferase, type 1"
CDS	219846	220925	HVO_A0214	DUF354 family protein
CDS	221276	221863	HVO_A0215	DUF457 family protein
CDS	222046	222621	HVO_A0216	LpxA family protein
CDS	222618	223721	HVO_A0217	DegT family aminotransferase
CDS	223718	224803	HVO_A0218	GFO family oxidoreductase
CDS	224800	226227	HVO_A0219	putative nucleotide sugar dehydrogenase
CDS	226224	227309	HVO_A0220	putative nucleotide sugar epimerase
CDS	227302	228387	HVO_A0221	uncharacterized protein
CDS	228450	229766	HVO_A0222	uncharacterized protein
CDS	229855	230040	HVO_A0223	uncharacterized protein
CDS	230037	231125	HVO_A0224	FemAB family protein
CDS	231214	232251	HVO_A0225	FemAB family protein
CDS	232306	232602	HVO_A0226	HTH domain protein
CDS	232853	232996	HVO_A0227	uncharacterized protein
CDS	233027	233902	HVO_A0228	5'-nucleotidase SurE
CDS	233930	234334	HVO_A0229	CBS domain protein
CDS	234476	235045	HVO_A0230	peptide methionine sulfoxide reductase MsrA (S-form specific)
CDS	235086	236375	HVO_A0231	uncharacterized protein
CDS	236463	236645	HVO_A0232	uncharacterized protein
CDS	237010	237321	HVO_A0233	uncharacterized protein
CDS	237346	237771	HVO_A0234	homolog to phiCh1-ORF95
CDS	237783	238007	HVO_A0235	uncharacterized protein
CDS	238018	238752	HVO_A0236	uncharacterized protein
CDS	239082	241280	HVO_A0237	adenine specific DNA methyltransferase
CDS	241631	242983	HVO_A0238	ISH5-type transposase ISHvo11
CDS	243069	243359	HVO_A0239A	uncharacterized protein
CDS	243730	244560	HVO_A0240	ISH9-type transposase ISHvo3
CDS	244714	245739	HVO_A0241	uncharacterized protein
CDS	245808	246359	HVO_A0242	uncharacterized protein
CDS	246816	246986	HVO_A0243	uncharacterized protein
CDS	247020	247418	HVO_A0244	death-on-curing family protein
CDS	247481	248008	HVO_A0245	HTH domain protein
CDS	248158	248589	HVO_A0246	uncharacterized protein
CDS	249136	249726	HVO_A0247	uncharacterized protein H1420
CDS	250327	250863	HVO_A0249	TrmB family transcription regulator
CDS	251158	251262	HVO_A0249A	uncharacterized protein
CDS	251563	252729	HVO_A0250	ISH3-type transposase ISH51
CDS	252951	253325	HVO_A0251	HTH domain protein
CDS	253729	253902	HVO_A0252	uncharacterized protein
CDS	254138	254551	HVO_A0253	HTH domain protein
CDS	254889	256274	HVO_A0254	DUF234 domain protein
CDS	256424	256576	HVO_A0254A	small CPxCG-related zinc finger protein
CDS	256788	257111	HVO_A0256	uncharacterized protein
CDS	257391	258668	HVO_A0257	Orc1-type DNA replication protein
CDS	259692	260669	HVO_A0258	ISH4-type transposase ISHvo6
CDS	260771	260905	HVO_A0259	uncharacterized protein
CDS	261232	262584	HVO_A0260	ISH5-type transposase ISHvo11
CDS	263455	264216	HVO_A0261	HTH domain protein
CDS	264290	265456	HVO_A0262	ISH3-type transposase ISH51
CDS	265885	268899	HVO_A0263	uncharacterized protein
CDS	270416	271183	HVO_A0266	IclR family transcription regulator
