type	geneStart	geneEnd	tag	description
CDS	1	1239	HFX_6001	cell division control protein 6
CDS	2084	3679	HFX_6002	hypothetical protein
CDS	3780	4142	HFX_6003	PHA-specific beta-ketothiolase beta subunit
CDS	4139	5290	HFX_6004	PHA-specific beta-ketothiolase alpha subunit
CDS	5497	6009	HFX_6005	putative acetyltransferase
CDS	6217	7263	HFX_6006	hypothetical protein
CDS	7470	7898	HFX_6007	UpsA domain-containing protein
CDS	8165	9418	HFX_6008	hypothetical protein
CDS	9594	10556	HFX_6009	Na+/Ca2+-antiporter-like protein
CDS	10575	11030	HFX_6010	stress response protein
CDS	11183	11347	HFX_6011	hypothetical protein
CDS	11501	12343	HFX_6012	endonuclease IV / deoxyribonuclease IV
CDS	12436	14160	HFX_6013	ribonucleoside-diphosphate reductase alpha chain
CDS	14336	14956	HFX_6014	"superoxide dismutase, Fe-Mn family"
CDS	15095	16252	HFX_6015	acetyl-CoA C-acetyltransferase
CDS	16255	16635	HFX_6016	hypothetical protein
CDS	16891	17544	HFX_6017	phosphoserine phosphatase
CDS	17559	18956	HFX_6018	putative signal transduction protein with CBS domains
CDS	19035	19238	HFX_6019	hypothetical protein
CDS	19344	20216	HFX_6020	universal stress protein
CDS	20445	20909	HFX_6021	hypothetical protein
CDS	21219	21383	HFX_6022	hypothetical protein
CDS	21540	22784	HFX_6023	Respiratory-chain NADH dehydrogenase 51 Kd subunit
CDS	22939	23916	HFX_6024	hypothetical protein
CDS	23980	24396	HFX_6026	hypothetical protein
CDS	25744	27129	HFX_6027	hypothetical protein
CDS	27272	28546	HFX_6028	putative ABC transporter substrate binding protein
CDS	28667	30853	HFX_6029	PAS domain S-box
CDS	31719	32510	HFX_6030	hydrolase
CDS	32821	34410	HFX_6031	trk active potasium channel
CDS	35487	37175	HFX_6032	acetolactate synthase I/II/III large subunit
CDS	37232	38206	HFX_6033	UDP-glucose 4-epimerase
CDS	38320	38931	HFX_6034	putative metal dependent phosphohydrolase
CDS	38921	39655	HFX_6035	hypothetical protein
CDS	39805	41073	HFX_6036	aminopeptidase
CDS	41234	42250	HFX_6037	Pyruvate dehydrogenase E1 component subunit beta
CDS	42247	43395	HFX_6038	Pyruvate dehydrogenase E1 component subunit alpha
CDS	43938	45365	HFX_6039	sodium-dependent transporter
CDS	45537	46658	HFX_6040	aspartate aminotransferase
CDS	47591	48952	HFX_6041	succinate-semialdehyde dehydrogenase (NADP+)
CDS	49187	49966	HFX_6042	transcriptional regulator
CDS	50074	50736	HFX_6043	F420-dependent NADP reductase
CDS	50942	51217	HFX_6044	hypothetical protein
